Name,Gender,House,Season,Total
Rodrik Cassel,Male,,4,0
Rodrik Cassel,Male,,5,0
Rodrik Cassel,Male,,6,0
Rodrik Cassel,Male,,7,0
Rodrik Cassel,Male,,8,0
Jory Cassel,Male,,1,237
Jory Cassel,Male,,2,0
Jory Cassel,Male,,3,0
Jory Cassel,Male,,4,0
Jory Cassel,Male,,5,0
Jory Cassel,Male,,6,0
Jory Cassel,Male,,7,0
Jory Cassel,Male,,8,0
Septa Mordane,Female,,1,303
Septa Mordane,Female,,2,0
Septa Mordane,Female,,3,0
Septa Mordane,Female,,4,0
Septa Mordane,Female,,5,16
Septa Mordane,Female,,6,0
Septa Mordane,Female,,7,0
Septa Mordane,Female,,8,0
Old Nan,Female,,1,204
Old Nan,Female,,2,0
Old Nan,Female,,3,0
Old Nan,Female,,4,0
Old Nan,Female,,5,0
Old Nan,Female,,6,0
Old Nan,Female,,7,0
Old Nan,Female,,8,0
Jon Umber,Male,,1,0
Jon Umber,Male,,2,0
Jon Umber,Male,,3,0
Jon Umber,Male,,4,0
Jon Umber,Male,,5,0
Jon Umber,Male,,6,0
Jon Umber,Male,,7,0
Jon Umber,Male,,8,0
Barristan Selmy,Female,,1,217
Barristan Selmy,Female,,2,0
Barristan Selmy,Female,,3,478
Barristan Selmy,Female,,4,154
Barristan Selmy,Female,,5,365
Barristan Selmy,Female,,6,0
Barristan Selmy,Female,,7,0
Barristan Selmy,Female,,8,0
Hizdahr Zo Loraq,Female,,1,0
Hizdahr Zo Loraq,Female,,2,0
Hizdahr Zo Loraq,Female,,3,0
Hizdahr Zo Loraq,Female,,4,222
Hizdahr Zo Loraq,Female,,5,614
Hizdahr Zo Loraq,Female,,6,0
Hizdahr Zo Loraq,Female,,7,0
Hizdahr Zo Loraq,Female,,8,0
Mossador,Male,,1,0
Mossador,Male,,2,0
Mossador,Male,,3,0
Mossador,Male,,4,41
Mossador,Male,,5,237
Mossador,Male,,6,0
Mossador,Male,,7,0
Mossador,Male,,8,0
Kovarro,Male,,1,0
Kovarro,Male,,2,65
Kovarro,Male,,3,0
Kovarro,Male,,4,0
Kovarro,Male,,5,0
Kovarro,Male,,6,0
Kovarro,Male,,7,0
Kovarro,Male,,8,0
Doreah,Female,,1,443
Doreah,Female,,2,75
Doreah,Female,,3,0
Doreah,Female,,4,0
Doreah,Female,,5,0
Doreah,Female,,6,0
Doreah,Female,,7,0
Doreah,Female,,8,0
Irri,Female,,1,121
Irri,Female,,2,90
Irri,Female,,3,0
Irri,Female,,4,0
Irri,Female,,5,0
Irri,Female,,6,0
Irri,Female,,7,0
Irri,Female,,8,0
Rakharo,Male,,1,180
Rakharo,Male,,2,24
Rakharo,Male,,3,0
Rakharo,Male,,4,0
Rakharo,Male,,5,0
Rakharo,Male,,6,0
Rakharo,Male,,7,0
Rakharo,Male,,8,0
Rhaegar Targaryen,Male,Targaryen,1,0
Rhaegar Targaryen,Male,Targaryen,2,0
Rhaegar Targaryen,Male,Targaryen,3,0
Rhaegar Targaryen,Male,Targaryen,4,0
Rhaegar Targaryen,Male,Targaryen,5,0
Rhaegar Targaryen,Male,Targaryen,6,0
Rhaegar Targaryen,Male,Targaryen,7,23
Rhaegar Targaryen,Male,Targaryen,8,0
Edmure Tully,Male,Tully,1,0
Edmure Tully,Male,Tully,2,0
Edmure Tully,Male,Tully,3,323
Edmure Tully,Male,Tully,4,0
Edmure Tully,Male,Tully,5,0
Edmure Tully,Male,Tully,6,245
Edmure Tully,Male,Tully,7,0
Edmure Tully,Male,Tully,8,79
Brynden Tully,Male,Tully,1,0
Brynden Tully,Male,Tully,2,0
Brynden Tully,Male,Tully,3,326
Brynden Tully,Male,Tully,4,0
Brynden Tully,Male,Tully,5,0
Brynden Tully,Male,Tully,6,438
Brynden Tully,Male,Tully,7,0
Brynden Tully,Male,Tully,8,0
Roslin Frey,Female,Frey,1,0
Roslin Frey,Female,Frey,2,0
Roslin Frey,Female,Frey,3,10
Roslin Frey,Female,Frey,4,0
Roslin Frey,Female,Frey,5,0
Roslin Frey,Female,Frey,6,0
Roslin Frey,Female,Frey,7,0
Roslin Frey,Female,Frey,8,0
Olenna Tyrell,Female,Tyrell,1,0
Olenna Tyrell,Female,Tyrell,2,0
Olenna Tyrell,Female,Tyrell,3,1516
Olenna Tyrell,Female,Tyrell,4,841
Olenna Tyrell,Female,Tyrell,5,530
Olenna Tyrell,Female,Tyrell,6,392
Olenna Tyrell,Female,Tyrell,7,492
Olenna Tyrell,Female,Tyrell,8,0
Mace Tyrell,Female,Tyrell,1,0
Mace Tyrell,Female,Tyrell,2,0
Mace Tyrell,Female,Tyrell,3,0
Mace Tyrell,Female,Tyrell,4,110
Mace Tyrell,Female,Tyrell,5,326
Mace Tyrell,Female,Tyrell,6,47
Mace Tyrell,Female,Tyrell,7,0
Mace Tyrell,Female,Tyrell,8,0
Loras Tyrell,Female,Tyrell,1,288
Loras Tyrell,Female,Tyrell,2,193
Loras Tyrell,Female,Tyrell,3,203
Loras Tyrell,Female,Tyrell,4,18
Loras Tyrell,Female,Tyrell,5,230
Loras Tyrell,Female,Tyrell,6,168
Loras Tyrell,Female,Tyrell,7,0
Loras Tyrell,Female,Tyrell,8,0
Randyll Tarly,Male,Tarly,1,0
Randyll Tarly,Male,Tarly,2,0
Randyll Tarly,Male,Tarly,3,0
Randyll Tarly,Male,Tarly,4,0
Randyll Tarly,Male,Tarly,5,0
Randyll Tarly,Male,Tarly,6,309
Randyll Tarly,Male,Tarly,7,291
Randyll Tarly,Male,Tarly,8,0
Melessa Tarly,Female,Tarly,1,0
Melessa Tarly,Female,Tarly,2,0
Melessa Tarly,Female,Tarly,3,0
Melessa Tarly,Female,Tarly,4,0
Melessa Tarly,Female,Tarly,5,0
Melessa Tarly,Female,Tarly,6,110
Melessa Tarly,Female,Tarly,7,0
Melessa Tarly,Female,Tarly,8,0
Talla Tarly,Female,Tarly,1,0
Talla Tarly,Female,Tarly,2,0
Talla Tarly,Female,Tarly,3,0
Talla Tarly,Female,Tarly,4,0
Talla Tarly,Female,Tarly,5,0
Talla Tarly,Female,Tarly,6,80
Talla Tarly,Female,Tarly,7,0
Talla Tarly,Female,Tarly,8,0
Dickon Tarly,Male,Tarly,1,0
Dickon Tarly,Male,Tarly,2,0
Dickon Tarly,Male,Tarly,3,0
Dickon Tarly,Male,Tarly,4,0
Dickon Tarly,Male,Tarly,5,0
Dickon Tarly,Male,Tarly,6,46
Dickon Tarly,Male,Tarly,7,68
Dickon Tarly,Male,Tarly,8,0
