Name,Gender,House,Season,Total
Tyrion Lannister,Male,Lannister,5,3254
Tyrion Lannister,Male,Lannister,6,2400
Tyrion Lannister,Male,Lannister,7,2726
Tyrion Lannister,Male,Lannister,8,3119
Petyr Baelish,Male,,1,1731
Petyr Baelish,Male,,2,1266
Petyr Baelish,Male,,3,633
Petyr Baelish,Male,,4,1231
Petyr Baelish,Male,,5,1628
Petyr Baelish,Male,,6,519
Petyr Baelish,Male,,7,724
Petyr Baelish,Male,,8,0
Davos Seaworth,Male,Seaworth,1,0
Davos Seaworth,Male,Seaworth,2,1109
Davos Seaworth,Male,Seaworth,3,1286
Davos Seaworth,Male,Seaworth,4,698
Davos Seaworth,Male,Seaworth,5,776
Davos Seaworth,Male,Seaworth,6,1310
Davos Seaworth,Male,Seaworth,7,935
Davos Seaworth,Male,Seaworth,8,533
Samwell Tarly,Male,Tarly,1,625
Samwell Tarly,Male,Tarly,2,512
Samwell Tarly,Male,Tarly,3,898
Samwell Tarly,Male,Tarly,4,1085
Samwell Tarly,Male,Tarly,5,1288
Samwell Tarly,Male,Tarly,6,575
Samwell Tarly,Male,Tarly,7,800
Samwell Tarly,Male,Tarly,8,686
Stannis Baratheon,Male,Baratheon,1,0
Stannis Baratheon,Male,Baratheon,2,1214
Stannis Baratheon,Male,Baratheon,3,633
Stannis Baratheon,Male,Baratheon,4,345
Stannis Baratheon,Male,Baratheon,5,1515
Stannis Baratheon,Male,Baratheon,6,0
Stannis Baratheon,Male,Baratheon,7,0
Stannis Baratheon,Male,Baratheon,8,0
Melisandre,Female,,1,0
Melisandre,Female,,2,778
Melisandre,Female,,3,962
Melisandre,Female,,4,475
Melisandre,Female,,5,715
Melisandre,Female,,6,429
Melisandre,Female,,7,219
Melisandre,Female,,8,12
Jeor Mormont,Male,Mormont,1,688
Jeor Mormont,Male,Mormont,2,194
Jeor Mormont,Male,Mormont,3,218
Jeor Mormont,Male,Mormont,4,0
Jeor Mormont,Male,Mormont,5,0
Jeor Mormont,Male,Mormont,6,0
Jeor Mormont,Male,Mormont,7,0
Jeor Mormont,Male,Mormont,8,0
Bronn,Male,,1,264
Bronn,Male,,2,744
Bronn,Male,,3,500
Bronn,Male,,4,755
Bronn,Male,,5,978
Bronn,Male,,6,367
Bronn,Male,,7,517
Bronn,Male,,8,521
Varys,Male,,1,1278
Varys,Male,,2,1352
Varys,Male,,3,1232
Varys,Male,,4,464
Varys,Male,,5,740
Varys,Male,,6,820
Varys,Male,,7,710
Varys,Male,,8,579
Shae,Female,,1,236
Shae,Female,,2,603
Shae,Female,,3,486
Shae,Female,,4,503
Shae,Female,,5,0
Shae,Female,,6,0
Shae,Female,,7,0
Shae,Female,,8,0
Margaery Tyrell,Female,Tyrell,1,5
Margaery Tyrell,Female,Tyrell,2,387
Margaery Tyrell,Female,Tyrell,3,1324
Margaery Tyrell,Female,Tyrell,4,495
Margaery Tyrell,Female,Tyrell,5,675
Margaery Tyrell,Female,Tyrell,6,709
Margaery Tyrell,Female,Tyrell,7,0
Margaery Tyrell,Female,Tyrell,8,0
Tywin Lannister,Male,Lannister,1,429
Tywin Lannister,Male,Lannister,2,1280
Tywin Lannister,Male,Lannister,3,1731
Tywin Lannister,Male,Lannister,4,2159
Tywin Lannister,Male,Lannister,5,0
Tywin Lannister,Male,Lannister,6,0
Tywin Lannister,Male,Lannister,7,0
Tywin Lannister,Male,Lannister,8,0
Talisa Maegyr,Female,,1,0
Talisa Maegyr,Female,,2,907
Talisa Maegyr,Female,,3,423
Talisa Maegyr,Female,,4,0
Talisa Maegyr,Female,,5,0
Talisa Maegyr,Female,,6,0
Talisa Maegyr,Female,,7,0
Talisa Maegyr,Female,,8,0
Ygritte,Female,,1,0
Ygritte,Female,,2,942
Ygritte,Female,,3,950
Ygritte,Female,,4,276
Ygritte,Female,,5,0
Ygritte,Female,,6,0
Ygritte,Female,,7,0
Ygritte,Female,,8,0
Gendry,Male,Baratheon,1,147
Gendry,Male,Baratheon,2,378
Gendry,Male,Baratheon,3,595
Gendry,Male,Baratheon,4,0
Gendry,Male,Baratheon,5,0
Gendry,Male,Baratheon,6,0
Gendry,Male,Baratheon,7,372
Gendry,Male,Baratheon,8,410
Tormund Giantsbane,Male,,1,0
Tormund Giantsbane,Male,,2,0
Tormund Giantsbane,Male,,3,354
Tormund Giantsbane,Male,,4,299
Tormund Giantsbane,Male,,5,342
Tormund Giantsbane,Male,,6,360
Tormund Giantsbane,Male,,7,401
Tormund Giantsbane,Male,,8,422
Brienne of Tarth,Female,Tarth,1,0
Brienne of Tarth,Female,Tarth,2,500
Brienne of Tarth,Female,Tarth,3,489
Brienne of Tarth,Female,Tarth,4,868
Brienne of Tarth,Female,Tarth,5,965
Brienne of Tarth,Female,Tarth,6,590
Brienne of Tarth,Female,Tarth,7,133
Brienne of Tarth,Female,Tarth,8,421
Ramsay Bolton,Male,Bolton,1,0
Ramsay Bolton,Male,Bolton,2,0
Ramsay Bolton,Male,Bolton,3,739
Ramsay Bolton,Male,Bolton,4,658
Ramsay Bolton,Male,Bolton,5,1094
Ramsay Bolton,Male,Bolton,6,818
Ramsay Bolton,Male,Bolton,7,0
Ramsay Bolton,Male,Bolton,8,0
Gilly,Female,,1,0
Gilly,Female,,2,63
Gilly,Female,,3,317
Gilly,Female,,4,264
Gilly,Female,,5,328
Gilly,Female,,6,380
Gilly,Female,,7,111
Gilly,Female,,8,67
Daario Naharis,Male,,1,0
Daario Naharis,Male,,2,0
Daario Naharis,Male,,3,392
Daario Naharis,Male,,4,297
Daario Naharis,Male,,5,977
Daario Naharis,Male,,6,553
Daario Naharis,Male,,7,0
Daario Naharis,Male,,8,0
Missandei,Female,,1,0
Missandei,Female,,2,0
Missandei,Female,,3,729
Missandei,Female,,4,370
Missandei,Female,,5,217
Missandei,Female,,6,264
Missandei,Female,,7,322
